City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
larsnes,62.2028,5.5773,291.4,79,98,2.25,NO,1621775867
atasu,48.6814,71.6433,300.28,25,6,6.76,KZ,1621775868
tessalit,20.1986,1.0114,314.4,12,12,2.69,ML,1621775871
esperance,-33.8667,121.9,288.18,54,88,7.4,AU,1621775873
jalu,29.0331,21.5482,306.63,12,0,3.77,LY,1621775874
meulaboh,4.1363,96.1285,300.71,79,95,2.09,ID,1621775876
norman wells,65.282,-126.8329,281.17,93,90,1.54,CA,1621775877
rawson,-43.3002,-65.1023,282.66,69,0,3.54,AR,1621775878
ribeira grande,38.5167,-28.7,291.37,59,20,6.69,PT,1621775880
airai,-8.9266,125.4092,288.58,91,57,0.96,TL,1621775882
vardo,70.3705,31.1107,275.72,53,8,2.46,NO,1621775883
cidreira,-30.1811,-50.2056,288.42,60,0,11.73,BR,1621775885
akdepe,42.0551,59.3788,308.2,10,0,7.25,TM,1621775886
bredasdorp,-34.5322,20.0403,299.77,50,18,2.33,ZA,1621775887
dingle,10.9995,122.6711,299.3,84,0,1.81,PH,1621775889
college,64.8569,-147.8028,277.14,89,40,0.0,US,1621775890
shitkino,56.3703,98.3543,281.91,81,88,2.42,RU,1621775891
bengkulu,-3.8004,102.2655,299.6,81,70,1.63,ID,1621775894
pincehely,46.681,18.4394,284.79,74,100,8.1,HU,1621775895
new norfolk,-42.7826,147.0587,282.43,75,5,0.91,AU,1621775896
arlit,18.7369,7.3853,315.24,5,13,1.84,NE,1621775898
iquique,-20.2208,-70.1431,289.17,67,32,1.44,CL,1621775899
buzmeyin,38.0507,58.2056,310.0,9,20,5.8,TM,1621775900
tarrafal,15.2833,-23.7667,300.59,77,74,4.82,CV,1621775902
georgetown,5.4112,100.3354,304.12,70,20,1.54,MY,1621775840
los llanos de aridane,28.6585,-17.9182,294.01,64,20,8.95,ES,1621775904
castro,-24.7911,-50.0119,288.55,73,19,4.3,BR,1621775905
ilulissat,69.2167,-51.1,275.16,48,20,3.6,GL,1621775907
narsaq,60.9167,-46.05,277.27,60,100,1.89,GL,1621775908
port blair,11.6667,92.75,301.23,81,100,10.27,IN,1621775909
carnarvon,-24.8667,113.6333,290.19,94,40,3.09,AU,1621775912
codrington,-38.2667,141.9667,284.38,74,99,4.51,AU,1621775913
kot diji,27.3427,68.7083,308.16,18,0,2.35,PK,1621775914
ostrovnoy,68.0531,39.5131,275.95,53,82,5.19,RU,1621775915
pampas,-12.4,-74.9,283.27,70,96,0.32,PE,1621775917
qaanaaq,77.484,-69.3632,269.93,74,100,3.54,GL,1621775918
remontnoye,46.5614,43.6501,303.42,57,100,7.25,RU,1621775919
lebu,-37.6167,-73.65,282.56,81,22,2.52,CL,1621775921
along,28.1667,94.7667,298.88,85,4,0.27,IN,1621775922
palmer,42.1584,-72.3287,298.93,60,75,0.45,US,1621775923
svetlaya,46.5389,138.3297,282.54,91,26,0.75,RU,1621775924
carbonia,39.1672,8.5222,298.68,42,94,1.86,IT,1621775926
wad madani,14.4012,33.5199,314.59,6,0,3.8,SD,1621775927
hinton,53.4001,-117.5857,271.17,64,6,1.8,CA,1621775728
mokrousovo,55.8103,66.7653,295.73,65,31,8.12,RU,1621775929
clyde river,70.4692,-68.5914,265.28,86,90,5.66,CA,1621775931
lompoc,34.6391,-120.4579,284.32,79,90,2.06,US,1621775932
khasan,42.4308,130.6434,285.19,97,100,1.61,RU,1621775933
aurillac,44.9167,2.45,288.03,58,75,1.54,FR,1621775935
buraydah,26.326,43.975,312.33,10,64,8.06,SA,1621775691
cabo san lucas,22.8909,-109.9124,298.37,62,75,3.72,MX,1621775937
bratsk,56.1325,101.6142,285.42,52,97,1.95,RU,1621775839
kaitangata,-46.2817,169.8464,284.22,91,80,2.69,NZ,1621775939
ca mau,9.1769,105.15,298.5,88,100,2.08,VN,1621775924
ovalle,-30.5983,-71.2003,292.22,13,92,1.23,CL,1621775943
talara,-4.5772,-81.2719,293.57,83,90,8.75,PE,1621775944
zhigansk,66.7697,123.3711,279.18,41,5,2.83,RU,1621775945
nanortalik,60.1432,-45.2371,274.68,75,100,5.25,GL,1621775947
poum,-20.2333,164.0167,296.56,65,5,8.06,NC,1621775948
owando,-0.4819,15.8999,303.4,61,100,1.27,CG,1621775949
contamana,-7.3333,-75.0167,299.6,76,92,1.15,PE,1621775951
halifax,44.6453,-63.5724,292.88,80,100,0.45,CA,1621775363
bilibino,68.0546,166.4372,268.15,93,19,2.34,RU,1621775953
gumdag,39.2061,54.5906,311.25,7,1,8.15,TM,1621775954
alice springs,-23.7,133.8833,286.9,35,6,2.76,AU,1621775956
tazovskiy,67.4667,78.7,277.73,98,100,5.19,RU,1621775957
torit,4.4133,32.5678,304.79,49,72,2.95,SS,1621775958
noumea,-22.2763,166.4572,295.37,99,51,2.51,NC,1621775960
shangzhi,45.2167,127.9667,283.75,95,100,4.56,CN,1621775961
ballina,-28.8667,153.5667,287.56,80,75,3.91,AU,1621775962
coihaique,-45.5752,-72.0662,280.12,93,90,3.09,CL,1621775963
calvinia,-31.4707,19.776,293.71,15,57,7.28,ZA,1621775965
gijon,43.5357,-5.6615,290.84,55,8,2.24,ES,1621775782
touros,-5.1989,-35.4608,300.65,69,52,7.07,BR,1621775967
arraial do cabo,-22.9661,-42.0278,300.13,69,0,0.0,BR,1621775739
portsmouth,50.799,-1.0913,286.73,89,100,3.58,GB,1621775859
husavik,66.0449,-17.3389,276.1,99,100,4.98,IS,1621775971
haines junction,60.7522,-137.5108,275.12,93,100,1.03,CA,1621775972
labuhan,-6.8844,112.2051,300.42,77,95,2.52,ID,1621775973
faya,18.3851,42.4509,299.44,30,7,5.61,SA,1621775974
geilo,60.5333,8.2076,280.76,92,100,1.57,NO,1621775976
darhan,49.4867,105.9228,280.89,45,98,2.7,MN,1621775978
potosi,-19.5836,-65.7531,279.19,11,6,2.23,BO,1621775979
brownsville,25.9018,-97.4975,299.21,88,1,1.79,US,1621775696
luderitz,-26.6481,15.1594,298.95,33,0,3.93,NA,1621775982
camocim,-2.9022,-40.8411,302.37,62,14,5.79,BR,1621775983
hovd,48.0056,91.6419,288.4,31,30,1.3,MN,1621775984
kodiak,57.79,-152.4072,274.88,87,1,3.09,US,1621775986
saldanha,-33.0117,17.9442,295.82,33,2,8.59,ZA,1621775987
nenagh,52.8619,-8.1967,285.89,67,95,5.18,IE,1621775988
dokka,60.84,10.0618,284.85,88,100,3.23,NO,1621775990
blyth,55.1271,-1.5086,287.51,55,40,7.0,GB,1621775992
plettenberg bay,-34.0527,23.3716,294.44,40,49,1.79,ZA,1621775993
polovinnoye,54.7914,65.9864,305.66,24,84,6.09,RU,1621775996
ramsar,36.9226,50.6426,297.84,88,75,1.03,IR,1621775997
saint-joseph,-21.3667,55.6167,298.35,74,41,5.66,RE,1621775998
nicoya,10.1483,-85.452,299.9,76,100,1.73,CR,1621776000
mareeba,-17.0,145.4333,292.55,98,17,1.16,AU,1621776001
kosh-agach,50.0,88.6667,283.8,58,10,2.7,RU,1621776002
osakarovka,50.565,72.5692,299.91,28,3,3.4,KZ,1621776004
enshi,30.3,109.4833,289.91,95,100,0.98,CN,1621776006
rodrigues alves,-7.738,-72.6509,299.51,75,16,0.94,BR,1621776007
sembakung,3.8167,117.25,301.11,95,100,0.27,ID,1621776008
burns lake,54.2331,-125.7533,271.83,94,0,1.29,CA,1621776010
nome,64.5011,-165.4064,273.19,86,90,1.54,US,1621776011
altay,47.8667,88.1167,290.93,42,1,1.69,CN,1621776012
salalah,17.0151,54.0924,304.2,74,20,6.69,OM,1621776013
aguascalientes,21.8833,-102.3,288.12,63,40,2.09,MX,1621775974
pilot butte,50.4668,-104.4178,280.74,81,90,4.48,CA,1621776017
liepaja,56.5419,21.0367,286.18,82,75,8.23,LV,1621776018
deputatskiy,69.3,139.9,268.27,83,42,0.95,RU,1621776019
mishelevka,52.8575,103.1719,280.29,50,47,2.41,RU,1621776021
tautira,-17.7333,-149.15,297.16,67,100,5.46,PF,1621776022
praia da vitoria,38.7333,-27.0667,292.29,55,40,4.03,PT,1621776026
moussoro,13.6408,16.4901,315.17,5,99,5.56,TD,1621776027
pontianak,-0.0333,109.3333,301.14,82,40,0.91,ID,1621776028
dicabisagan,17.0818,122.4157,300.18,83,6,1.89,PH,1621776030
caluquembe,-13.7833,14.6833,297.62,26,5,2.2,AO,1621776031
obidos,-1.9175,-55.5181,301.99,68,100,1.99,BR,1621775757
the valley,18.217,-63.0578,301.54,78,40,7.2,AI,1621776033
alappuzha,9.49,76.3264,301.5,78,100,3.85,IN,1621776035
vestmannaeyjar,63.4427,-20.2734,282.7,66,20,5.14,IS,1621776036
nortelandia,-14.4547,-56.8028,297.71,89,99,1.74,BR,1621776037
natal,-5.795,-35.2094,301.27,67,75,6.08,BR,1621776038
toppenish,46.3774,-120.3087,282.71,74,1,0.89,US,1621776040
leleasca,44.7833,24.4333,299.35,41,35,3.44,RO,1621776041
kuching,1.55,110.3333,301.27,83,40,2.57,MY,1621776042
isangel,-19.55,169.2667,295.12,69,26,4.41,VU,1621776044
gurjaani,41.7429,45.8011,303.8,28,75,2.18,GE,1621776045
hambantota,6.1241,81.1185,300.93,81,100,7.48,LK,1621776046
obsharovka,53.125,48.8531,305.63,33,100,4.26,RU,1621776047
burnie,-41.0667,145.9167,283.95,87,56,3.32,AU,1621776049
cayenne,4.9333,-52.3333,298.2,90,90,0.45,GF,1621776050
kathu,7.9178,98.3332,302.94,83,100,4.02,TH,1621776051
balsas,-7.5325,-46.0356,303.32,46,100,3.53,BR,1621776053
teya,60.3778,92.6267,286.72,87,42,2.71,RU,1621776054
okhotsk,59.3833,143.3,273.46,93,100,1.21,RU,1621776055
hofn,64.2539,-15.2082,279.41,73,100,5.19,IS,1621776057
ribeira brava,32.65,-17.0667,294.5,52,55,3.66,PT,1621776058
koslan,63.4564,48.8989,289.95,41,25,6.54,RU,1621776059
rabo de peixe,37.8,-25.5833,288.88,54,40,3.01,PT,1621776060
beringovskiy,63.05,179.3167,272.62,99,100,3.68,RU,1621776062
nioro,13.35,-15.75,310.15,16,13,3.58,GM,1621775888
paamiut,61.994,-49.6678,274.4,70,100,7.4,GL,1621776064
udachnyy,66.4167,112.4,277.45,71,51,3.71,RU,1621776065
gondanglegi,-7.7479,112.0132,297.94,89,99,2.01,ID,1621776067
finnsnes,69.2296,17.9811,280.49,43,2,3.87,NO,1621776068
laredo,27.5064,-99.5075,298.15,97,90,0.0,US,1621776069
batemans bay,-35.7167,150.1833,284.25,84,94,0.87,AU,1621776071
leningradskiy,69.3833,178.4167,269.43,93,87,2.17,RU,1621776072
nador,35.174,-2.9287,295.19,75,20,7.45,MA,1621776073
martapura,-3.4167,114.85,299.2,95,90,1.06,ID,1621776074
alta floresta,-9.8756,-56.0861,302.05,79,20,2.06,BR,1621776076
bobo dioulasso,11.1771,-4.2979,309.4,38,0,3.6,BF,1621776077
pacific grove,36.6177,-121.9166,284.97,86,83,0.89,US,1621776078
namibe,-15.1961,12.1522,302.5,58,0,5.14,AO,1621776080
tiksi,71.6872,128.8694,269.68,88,16,4.03,RU,1621776081
vao,-22.6667,167.4833,294.91,63,13,6.86,NC,1621776082
aksu,41.1231,80.2644,298.89,15,100,2.48,CN,1621776019
cheltenham,51.9,-2.0833,286.64,70,100,6.26,GB,1621776085
vidim,56.4088,103.1106,281.0,46,95,2.12,RU,1621776086
kautokeino,69.0125,23.0412,273.52,70,54,3.63,NO,1621776087
bagdarin,54.4333,113.6,277.52,42,100,4.56,RU,1621776088
burkburnett,34.0979,-98.5706,294.53,92,90,1.79,US,1621776090
bereznik,62.8551,42.7072,292.68,35,23,3.11,RU,1621776091
sao filipe,14.8961,-24.4956,295.97,77,16,2.15,CV,1621776092
huntington,38.4193,-82.4452,295.69,89,1,1.76,US,1621775827
flagstaff,35.1981,-111.6513,276.96,47,1,0.0,US,1621776096
saint-philippe,-21.3585,55.7679,298.9,75,71,5.49,RE,1621776098
aklavik,68.2191,-135.0107,272.61,81,98,9.62,CA,1621776099
padang,-0.9492,100.3543,300.18,85,94,1.56,ID,1621776100
trzcianka,53.0406,16.4563,285.59,78,93,4.86,PL,1621776101
half moon bay,37.4636,-122.4286,285.05,87,90,2.06,US,1621776103
tokur,53.1333,132.9,276.14,99,100,2.11,RU,1621776104
bow island,49.8668,-111.3684,277.31,87,100,2.06,CA,1621776106
victoria,22.2855,114.1577,304.44,80,97,0.45,HK,1621776016
